model,dataset,fraction,n_seeds,auroc_mean,auroc_ci_low,auroc_ci_high,auroc_ci_width,ece_mean,ece_ci_low,ece_ci_high,ece_ci_width,brier_mean,brier_ci_low,brier_ci_high,brier_ci_width,f1_mean,f1_ci_low,f1_ci_high,f1_ci_width
CONCH,LungHist700,0.01,3,0.8630391844458026,0.8351183999591102,0.890451431090361,0.055333031131250765,0.32832815766082396,0.2238884396760293,0.39445937643037415,0.17057093675434484,0.11519561434108117,0.1147676329236379,0.11590656121697158,0.001138928293333688,0.4108512256018862,0.3370893541700995,0.4482974142037767,0.11120806003367723
CONCH,LungHist700,0.05,3,0.9068458293980591,0.8874752321761085,0.92360257082477,0.03612733864866158,0.17393400103282422,0.1375460704286539,0.2039136529593,0.06636758253064609,0.1050671007132421,0.1009973113934522,0.1086728835439058,0.0076755721504535995,0.2623404941786344,0.1979960536924716,0.3637955182072829,0.16579946451481128
CONCH,LungHist700,0.1,3,0.9399848057002456,0.9370843861463282,0.941509617107398,0.004425230961069837,0.1894569065613576,0.1284798465980669,0.270468225109131,0.14198837851106408,0.09306428835220183,0.09195963014327908,0.09489593851188742,0.002936308368608337,0.40928002526892854,0.3561826644533412,0.4703412529499486,0.11415858849660743
CONCH,LungHist700,0.25,3,0.9580448708235636,0.956161734354427,0.9590872863197774,0.0029255519653503814,0.2374207802590579,0.220484018800844,0.2508674691378307,0.030383450336986695,0.07624971631607873,0.0757974170292745,0.0767734530144873,0.0009760359852128003,0.608614188094828,0.5858684205276493,0.6523126158676031,0.06644419533995383
CONCH,LungHist700,0.5,3,0.9630159986154728,0.9623929972503328,0.9637466277543548,0.0013536305040220409,0.24228589436374945,0.2031257031251026,0.2875668436670883,0.08444114054198568,0.06305715802503963,0.0612623354256694,0.0639832523661936,0.002720916940524197,0.676646139130631,0.6243115069182649,0.7202662322952288,0.09595472537696392
CONCH,LungHist700,1.0,3,0.971386775329594,0.971386775329594,0.971386775329594,0.0,0.20836451760473418,0.20836451760473382,0.2083645176047344,5.828670879282072e-16,0.0518460714890121,0.0518460714890121,0.0518460714890121,0.0,0.7006370321407914,0.7006370321407914,0.7006370321407914,0.0
CONCH,MHIST,0.01,3,0.6864277567681133,0.6650639294075275,0.7125427696740502,0.047478840266522715,0.15286848925534527,0.1156580273591445,0.2037523782126609,0.0880943508535164,0.2478404941525768,0.2295361726320451,0.2673948821602975,0.037858709528252404,0.0,0.0,0.0,0.0
CONCH,MHIST,0.05,3,0.7603067411009065,0.721452368089321,0.7934629929767693,0.07201062488744825,0.13736837235358146,0.129481572113165,0.1504658045247843,0.020984232411619314,0.21738231746432946,0.2108722293268209,0.22160312628259712,0.010730896955776226,0.0,0.0,0.0,0.0
CONCH,MHIST,0.1,3,0.7772645416891771,0.7745993156852152,0.781658562938952,0.0070592472537367446,0.13497208765482369,0.1197805470728139,0.1590910378146665,0.0393104907418526,0.20754861333480823,0.20150175582902077,0.216654237706473,0.015152481877452217,0.0217886275441514,0.0,0.0380434782608695,0.0380434782608695
CONCH,MHIST,0.25,3,0.8170613482201813,0.8003871781019267,0.8278047902034936,0.0274176121015669,0.11849430481918256,0.104109204306215,0.1356438237480906,0.03153461944187559,0.18479836019920268,0.1815616355532347,0.1885424171743126,0.006980781621077903,0.2888433929835203,0.2428571428571428,0.3736730360934182,0.13081589323627538
CONCH,MHIST,0.5,3,0.8344723572843509,0.8240725733837565,0.8424365207995678,0.018363947415811266,0.11280729595687407,0.1058309581814419,0.12087216073584932,0.015041202554407412,0.17280955867797043,0.17096796144410256,0.1750655372072538,0.004097575763151229,0.45943921893629674,0.4491362763915547,0.4647619047619047,0.01562562837035003
CONCH,MHIST,1.0,3,0.8509814514676751,0.8509814514676751,0.8509814514676751,0.0,0.09174233457362387,0.0917423345736237,0.091742334573624,3.0531133177191805e-16,0.1614328003666552,0.1614328003666546,0.1614328003666556,9.992007221626409e-16,0.6023294509151415,0.6023294509151415,0.6023294509151415,0.0
CONCH,PCam,0.01,3,0.9535609796313743,0.9529009896969368,0.9544959171500057,0.001594927453068884,0.05305816204743676,0.0462691230065578,0.05841617204396251,0.012147049037404711,0.08798928212402087,0.0875974587506159,0.08864544409545978,0.001047985344843877,0.875311658837303,0.8738588144528738,0.8768444586394123,0.002985644186538461
CONCH,PCam,0.05,3,0.9576230207713744,0.9569015498763921,0.9580526685140311,0.0011511186376390592,0.03696480842753403,0.0338983142208755,0.0398424578631206,0.005944143642245103,0.08186070299838573,0.0811560375961668,0.0830443579993917,0.0018883204032248968,0.8823899911672314,0.8801569182288821,0.883829650976625,0.003672732747742935
CONCH,PCam,0.1,3,0.9599981483317017,0.9595375694980509,0.9607029932530474,0.0011654237549965085,0.032284310553740765,0.0312687315124494,0.0337817173817647,0.0025129858693152957,0.07873155067983784,0.0781310175053155,0.0791485915490548,0.001017574043739311,0.8875778562994824,0.8869009584664537,0.888689981458986,0.001789022992532363
