probe,model,dataset,fraction,seed,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,CLIP,LungHist700,0.05,42,0.6889886496629591,0.0457142857142857,0.0389698004890042,0.1372614703170941,0.7593802472967662,1.0
linear,CLIP,LungHist700,0.05,123,0.6780073336646844,0.0457142857142857,0.036711449513601,0.132510857616088,0.7530546990160535,1.0
linear,CLIP,LungHist700,0.05,456,0.7832271255908398,0.0457142857142857,0.036636358163174,0.1956965449141379,0.7527790097039797,1.0
linear,CLIP,LungHist700,0.1,42,0.786549037409256,0.0457142857142857,0.0319933162548366,0.1660752361920008,0.595767219244487,1.0
linear,CLIP,LungHist700,0.1,123,0.7678545703413722,0.0457142857142857,0.0334603817303821,0.1342805375534843,0.6629087358943749,1.0
linear,CLIP,LungHist700,0.1,456,0.7969259423773182,0.0457142857142857,0.0572432201735411,0.145376132572924,0.6332530551260989,1.0
linear,CLIP,LungHist700,0.25,42,0.8013518522245652,0.0606060606060606,0.0836862558791924,0.1536597632621408,0.4919050277564054,0.9523809523809524
linear,CLIP,LungHist700,0.25,123,0.8102091375810032,0.1014353567513962,0.061900813731586,0.1291653840220498,0.5056044911841207,0.9428571428571428
linear,CLIP,LungHist700,0.25,456,0.841085621226281,0.0984056593812691,0.0985480869414308,0.1752761040810602,0.4755056148289594,0.9809523809523808
linear,CLIP,LungHist700,0.5,42,0.8080083166224175,0.1651997056132394,0.0556965514552698,0.152036120735125,0.3977299038526378,0.8380952380952381
linear,CLIP,LungHist700,0.5,123,0.8303927576064261,0.1722357082170166,0.0697924969327353,0.154134993843801,0.4066773300863196,0.8285714285714286
linear,CLIP,LungHist700,0.5,456,0.8330735810022923,0.1939920522664511,0.0543084920376384,0.1472547022464627,0.3995997857476352,0.7714285714285715
linear,CLIP,LungHist700,1.0,42,0.8354478917641995,0.2155225726654298,0.1092982121133294,0.1755661617186266,0.3567950809101771,0.6476190476190476
linear,CLIP,LungHist700,1.0,123,0.8354478917641995,0.2155225726654298,0.1092982121133294,0.1755661617186266,0.3567950809101771,0.6476190476190476
linear,CLIP,LungHist700,1.0,456,0.8354478917641995,0.2155225726654298,0.1092982121133294,0.1755661617186266,0.3567950809101771,0.6476190476190476
linear,CLIP,MHIST,0.01,42,0.617382495948136,0.3870765370138017,0.1119272207300848,0.0530670440019319,2.4439630143218403,1.0
linear,CLIP,MHIST,0.01,123,0.604367008824059,0.3870765370138017,0.1134927545695638,0.0539096538360111,2.4635839397559485,1.0
linear,CLIP,MHIST,0.01,456,0.6918647577885827,0.3870765370138017,0.1599578690986219,0.0556063557711386,2.424509796999151,1.0
linear,CLIP,MHIST,0.05,42,0.7837430217900234,0.3870765370138017,0.1600341183970755,0.1563067082923284,2.019373296143253,1.0
linear,CLIP,MHIST,0.05,123,0.7376598235188188,0.3870765370138017,0.1378590630215362,0.1335899468075436,2.028392678151912,1.0
linear,CLIP,MHIST,0.05,456,0.782117774176121,0.3870765370138017,0.1732896809846165,0.1378181920472029,2.11182070036892,1.0
linear,CLIP,MHIST,0.1,42,0.7910453808752026,0.3870765370138017,0.1649314028639308,0.1777986502978527,1.809278565939172,1.0
linear,CLIP,MHIST,0.1,123,0.7895641995317847,0.3870765370138017,0.1692999200769146,0.1806539617484153,1.8566826897378992,1.0
linear,CLIP,MHIST,0.1,456,0.8042949756888169,0.3870765370138017,0.1604092126652696,0.1697565164300782,1.9240479878847376,1.0
linear,CLIP,MHIST,0.25,42,0.8181973707905638,0.4343206304552046,0.1509273244466565,0.1481958872937815,1.642991257918298,0.978505629477994
linear,CLIP,MHIST,0.25,123,0.8304880244912661,0.3986241023474745,0.1565922137881228,0.1641118338255267,1.6023651734185314,0.9948822927328556
linear,CLIP,MHIST,0.25,456,0.8246308301818838,0.3982085587259639,0.1531786587048036,0.1524330451342376,1.6512641212877472,0.9938587512794268
linear,CLIP,MHIST,0.5,42,0.8294390419593012,0.5343956209766453,0.1306308280152597,0.1253648899972115,1.5971856177723855,0.9150460593654044
linear,CLIP,MHIST,0.5,123,0.83827660723933,0.5504233028793531,0.1330154366643543,0.1251162932569254,1.5091860747337034,0.9129989764585466
linear,CLIP,MHIST,0.5,456,0.8421438861876462,0.5298697145546507,0.1354482793316703,0.1306518986440835,1.5492930628592914,0.9211873080859776
linear,CLIP,MHIST,1.0,42,0.8535251215559156,0.6538130709397826,0.117017991924256,0.1071567205503572,1.507202076685831,0.8208802456499488
linear,CLIP,MHIST,1.0,123,0.8535251215559156,0.6538130709397826,0.117017991924256,0.1071567205503572,1.507202076685831,0.8208802456499488
linear,CLIP,MHIST,1.0,456,0.8535251215559156,0.6538130709397826,0.117017991924256,0.1071567205503572,1.507202076685831,0.8208802456499488
linear,CLIP,PCam,0.01,42,0.8792610357842996,0.7974132669256667,0.0798414562912116,0.013860195965395,1.2501508355858884,0.507171630859375
linear,CLIP,PCam,0.01,123,0.8812400407372489,0.8013831303844592,0.082407686743974,0.0176083648871006,1.2426105789191877,0.506317138671875
linear,CLIP,PCam,0.01,456,0.8821511053495265,0.8021784076844505,0.0843655127903262,0.0158830627248824,1.2533385844846705,0.506011962890625
