design,model,pair,ece_lo,ece_hi,ece_delta,ece_slope,rises,auroc_lo,auroc_hi,auroc_mean,auroc_dist,degeneracy,degenerate_share
covariate,CONCH,h0->h2,0.19907892774620942,0.0433614402547041,-0.15571748749150532,-0.07661751030566863,False,0.9925383703703702,0.9952364444444445,0.9943899999999998,0.4943899999999998,0.5363148148148148,0.0
covariate,CONCH,h0->h3,0.1691996465764086,0.0173593638341791,-0.1518402827422295,-0.07512672004582505,False,0.9870681481481481,0.9900213333333333,0.9892851604938272,0.4892851604938272,0.5285740740740741,0.0
covariate,CONCH,h0->h4,0.2239761948736337,0.1302033414581548,-0.09377285341547892,-0.04677759583481902,False,0.9798471111111112,0.9835671111111112,0.9832468148148149,0.4832468148148149,0.6200925925925926,0.0
covariate,CONCH,h1->h0,0.15757720998343924,0.0208079964181991,-0.13676921356524013,-0.06774481634809734,False,0.9889746666666667,0.9927862222222222,0.9914823209876543,0.4914823209876543,0.5210370370370371,0.0
covariate,CONCH,h1->h2,0.20845137301820774,0.055339976512687204,-0.15311139650552053,-0.07578165857758673,False,0.9819918518518519,0.9832088888888887,0.9825672345679012,0.4825672345679012,0.5613148148148147,0.0
covariate,CONCH,h1->h3,0.17405038876642406,0.0190264968986767,-0.15502389186774737,-0.07692321609148245,False,0.9875380740740741,0.9897248888888889,0.9896590370370371,0.48965903703703706,0.5257222222222221,0.0
covariate,CONCH,h1->h4,0.19789799482737844,0.1190177767469947,-0.07888021808038374,-0.03271462430700317,False,0.9667487407407408,0.9563613333333332,0.9607344691358023,0.4607344691358023,0.6155185185185186,0.0
covariate,CONCH,h2->h0,0.16295489759568726,0.010531653327374801,-0.15242324426831247,-0.07425752012257372,False,0.9885509629629627,0.9933604444444444,0.9916493333333332,0.49164933333333316,0.5220370370370371,0.0
covariate,CONCH,h2->h1,0.1953162021920202,0.0779788927569045,-0.1173373094351157,-0.0565464890407048,False,0.9591063703703705,0.9706284444444444,0.9676725925925926,0.46767259259259264,0.600111111111111,0.0
covariate,CONCH,h2->h3,0.17869519592884142,0.0462257326759748,-0.13246946325286663,-0.06266094045692683,False,0.9825125925925926,0.985236,0.9847280740740741,0.48472807407407414,0.5535925925925925,0.0
covariate,CONCH,h2->h4,0.22227120925022245,0.0297565355646035,-0.19251467368561895,-0.09612615470696664,False,0.9909601481481481,0.9931519999999999,0.9925461728395062,0.4925461728395062,0.534814814814815,0.0
covariate,CONCH,h3->h0,0.1640573705800186,0.0194969925955836,-0.144560377984435,-0.07017644489789703,False,0.9889134814814815,0.9943777777777778,0.9926686913580246,0.4926686913580246,0.5106851851851852,0.0
covariate,CONCH,h3->h1,0.17811824817067237,0.0346717388928501,-0.14344650927782227,-0.07141943272473822,False,0.9804705185185186,0.9901128888888889,0.9866787654320986,0.48667876543209865,0.5320925925925926,0.0
covariate,CONCH,h3->h2,0.2128204728817463,0.0349012664226468,-0.1779192064590995,-0.08837282942739688,False,0.9871512592592592,0.9904373333333334,0.9896605432098765,0.4896605432098765,0.5122222222222222,0.0
covariate,CONCH,h3->h4,0.19221735264820672,0.0863971910073777,-0.10582016164082902,-0.05492851079728294,False,0.9719216296296297,0.9588217777777776,0.9670638271604938,0.46706382716049377,0.5677407407407408,0.0
covariate,CONCH,h4->h0,0.17602771002758888,0.023908189874217296,-0.15211952015337157,-0.07533807082584462,False,0.9771816296296296,0.9873195555555556,0.9834694074074074,0.4834694074074074,0.5390555555555555,0.0
covariate,CONCH,h4->h1,0.23757254825597973,0.0988400092702,-0.13873253898577975,-0.07194630087844579,False,0.9654994074074074,0.9651359999999999,0.9662563209876543,0.46625632098765435,0.6507222222222223,0.0
covariate,CONCH,h4->h2,0.20675167568151162,0.012599591526271598,-0.19415208415524002,-0.09588447420993315,False,0.9923456296296296,0.9942319999999999,0.9937384691358025,0.49373846913580255,0.5190740740740741,0.0
covariate,CONCH,h4->h3,0.21353725603144405,0.0562300789915165,-0.15730717703992755,-0.07730765112181001,False,0.9790053333333334,0.9779506666666666,0.9789945432098767,0.47899454320987667,0.5761481481481483,0.0
covariate,GigaPath,h0->h1,0.28458312453322315,0.063051445078341,-0.22153167945488217,-0.1104624669627293,False,0.9963617777777779,0.9967368888888887,0.9968315555555557,0.4968315555555557,0.5449259259259259,0.0
covariate,GigaPath,h0->h2,0.2806517079366439,0.0736400165218579,-0.20701169141478598,-0.10060637361820099,False,0.9918317037037038,0.9949484444444444,0.9940736296296296,0.49407362962962964,0.5574074074074074,0.0
covariate,GigaPath,h0->h3,0.24167267714847784,0.0585471728607502,-0.18312550428772764,-0.08893464274822445,False,0.9956518518518519,0.996802222222222,0.9966737283950616,0.49667372839506163,0.5389259259259259,0.0
covariate,GigaPath,h0->h4,0.3609351529903215,0.2760854432620153,-0.08484970972830619,-0.03651787589263509,False,0.9930238518518518,0.9933182222222222,0.99381,0.49380999999999997,0.8256111111111112,0.0
