model,dataset,fraction,seed,budget,n_train,n_val,n_labels_total,n_classes,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,forced_val_classes,degenerate
MIDNIGHT,MHIST,0.5,42,proportional,924,163,1087,2,0.6985233207275346,0.4941792956498839,0.2140002959260094,0.0873993322133155,0.0947752722685512,1.809005905129024,0.0936359891798263,0.1026690281623097,0.9160696008188332,0,0,False
MIDNIGHT,MHIST,0.5,123,proportional,924,163,1087,2,0.7200612281649559,0.4884096226160875,0.2075318202797414,0.0909907796451521,0.0923871503196446,1.647486479139924,0.1041810384167068,0.1038736120177759,0.9303991811668372,0,0,False
MIDNIGHT,MHIST,0.5,456,proportional,924,163,1087,2,0.7172609400324149,0.499414867814698,0.208547822370425,0.0893272377697063,0.0944873877752631,1.7105547836974586,0.1014590570627566,0.1022382938528065,0.924257932446264,0,0,False
MIDNIGHT,MHIST,1.0,42,proportional,1849,326,2175,2,0.7383261300198092,0.5404122476907287,0.2010804927859965,0.0825294760265744,0.0957124665251063,1.712834489414385,0.092621245225626,0.0976031933435389,0.8833162743091095,0,0,False
MIDNIGHT,MHIST,1.0,123,proportional,1849,326,2175,2,0.7383261300198092,0.5404122476907287,0.2010804927859965,0.0825294760265744,0.0957124665251063,1.712834489414385,0.092621245225626,0.0976031933435389,0.8833162743091095,0,0,False
MIDNIGHT,MHIST,1.0,456,proportional,1849,326,2175,2,0.7383261300198092,0.5404122476907287,0.2010804927859965,0.0825294760265744,0.0957124665251063,1.712834489414385,0.092621245225626,0.0976031933435389,0.8833162743091095,0,0,False
MIDNIGHT,PCam,0.01,42,proportional,2620,326,2946,2,0.9495605622547402,0.8810779500480093,0.0884922136161616,0.0530836198872111,0.0538300614798857,1.601385738796168,0.0516234908447235,0.0517177805160621,0.57464599609375,0,0,False
MIDNIGHT,PCam,0.01,123,proportional,2620,326,2946,2,0.9392316193221112,0.8709558814950027,0.0975629774922307,0.0600801882985693,0.0621526446076219,1.8021976904285235,0.0621075630854558,0.0627527019690183,0.58612060546875,0,0,False
MIDNIGHT,PCam,0.01,456,proportional,2620,326,2946,2,0.9497133438883492,0.8806757903819112,0.0896708013706932,0.0583240887844914,0.0625342049071802,1.6834832769296613,0.0547943682769223,0.0565167188837675,0.57977294921875,0,0,False
MIDNIGHT,PCam,0.05,42,proportional,13106,1637,14743,2,0.9556278319126508,0.8987061574915483,0.0774307890989945,0.0476634976577221,0.0476634976577221,1.810232839845325,0.0510621421756036,0.051097819537923,0.56964111328125,0,0,False
MIDNIGHT,PCam,0.05,123,proportional,13106,1637,14743,2,0.955957658000012,0.8956041426927503,0.0790106024504533,0.0517865467188697,0.0517865467188696,1.9143114752175856,0.0533772801180642,0.0533982006921885,0.574005126953125,0,0,False
MIDNIGHT,PCam,0.05,456,proportional,13106,1637,14743,2,0.9586923233267808,0.8987811018518158,0.0761667208561919,0.0461082150095853,0.0481773138052474,1.818448280462134,0.0496596199003375,0.0499810813395009,0.570831298828125,0,0,False
MIDNIGHT,PCam,0.1,42,proportional,26214,3275,29489,2,0.9544545552442714,0.9000780146320677,0.0760686086634502,0.0484477380935674,0.0485232923566085,1.9701170361949285,0.0489836503749776,0.0490908889285122,0.570220947265625,0,0,False
MIDNIGHT,PCam,0.1,123,proportional,26214,3275,29489,2,0.9568165536374268,0.9007717756503216,0.0762050415766256,0.0514359184427031,0.051503180820473,2.0175122007929027,0.0511312082206688,0.0511947621243788,0.571044921875,0,0,False
MIDNIGHT,PCam,0.1,456,proportional,26214,3275,29489,2,0.9586404374740326,0.9017904146835138,0.0748099777349855,0.0493183285048439,0.0494318253653928,1.9819880608416285,0.0496478418011227,0.0497845547265833,0.570587158203125,0,0,False
MIDNIGHT,PCam,0.25,42,proportional,65536,8191,73727,2,0.9556589902463948,0.9053726282305554,0.0739574116548283,0.0526961512786694,0.0528969262728449,2.150561774692568,0.0503724000806324,0.0504422889534109,0.568756103515625,0,0,False
MIDNIGHT,PCam,0.25,123,proportional,65536,8191,73727,2,0.9573864151236948,0.906673035062179,0.0731805045367085,0.0519323777486994,0.052132466936728,2.0552515168326138,0.0510742358700939,0.0512299492133092,0.567779541015625,0,0,False
MIDNIGHT,PCam,0.25,456,proportional,65536,8191,73727,2,0.9571553949289558,0.9060668695696305,0.0737674668909057,0.0505130351688057,0.0507701091006117,2.206387418939778,0.0472311749798885,0.047333985099773,0.567230224609375,0,0,False
MIDNIGHT,PCam,0.5,42,proportional,131072,16383,147455,2,0.9534617875502542,0.9066830916343714,0.0738135075928469,0.0524985821041658,0.0527953355172002,2.24782253208208,0.0488869161222386,0.0490275095985992,0.566986083984375,0,0,False
MIDNIGHT,PCam,0.5,123,proportional,131072,16383,147455,2,0.9548790856788874,0.9062600645417148,0.0744495211784539,0.0524010227081062,0.0529511620598711,2.3342154463833364,0.0475741194625486,0.0478434496192071,0.566497802734375,0,0,False
MIDNIGHT,PCam,0.5,456,proportional,131072,16383,147455,2,0.9565945337456918,0.9083725631619,0.072817979831424,0.0525893831152711,0.0528588856073211,2.2551368369145868,0.0489242452713513,0.0490041850967598,0.56671142578125,0,0,False
