model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_oracle,ece_scaled_oracle,degeneracy_share,degenerate
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.5,42,1828,0.6222051302121059,0.5378383038428746,0.1728932985845476,0.2222724081101762,0.2222724081101762,1.9139051861371867,0.2171328391675949,0.2171328391675949,0.9251372196536356,0.127678914827847,0.8629333333333333,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.5,123,1828,0.6471755080094581,0.5631934349649631,0.173546493076158,0.2307611334054307,0.2307611334054307,1.8752516551674976,0.2236698039844535,0.2236698039844535,0.8549436041795963,0.1284026452486059,0.8566,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.5,456,1828,0.5824915550802114,0.5125009158925679,0.1502853071007773,0.1598660636485288,0.1598660636485288,1.996417052107248,0.1595782992332279,0.1595782992332279,1.081352256253185,0.0736683543073016,0.9535333333333332,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,1.0,42,3657,0.6221818019061016,0.5436767280326481,0.1743704981324672,0.2178914495758373,0.2178914495758373,1.9176580977010655,0.2131131967096523,0.2131131967096523,1.1363510601321696,0.1497437280571213,0.8376666666666667,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,1.0,123,3657,0.6221818019061016,0.5436767280326481,0.1743704981324672,0.2178914495758373,0.2178914495758373,1.9176580977010655,0.2131131967096523,0.2131131967096523,1.1363510601321696,0.1497437280571213,0.8376666666666667,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,1.0,456,3657,0.6221818019061016,0.5436767280326481,0.1743704981324672,0.2178914495758373,0.2178914495758373,1.9176580977010655,0.2131131967096523,0.2131131967096523,1.1363510601321696,0.1497437280571213,0.8376666666666667,False
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.01,42,699,0.4408133623819897,0.4171779141104294,0.258192354612865,0.2352262535491484,0.2297157474664295,1.0496847516978982,0.2782054222568442,0.2782054222568442,6.509809897153633,0.0314719080777285,1.0,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.01,123,699,0.424821471798596,0.4171779141104294,0.2545841930633197,0.2258105080483102,0.221792784278177,1.04265856043056,0.2771370984277533,0.2758296157477349,6.170398270692637,0.0379011066464298,1.0,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.01,456,699,0.4355936819172112,0.4171779141104294,0.252617520426935,0.2240715335178688,0.2188631847329072,1.0148551777633632,0.2773133415714764,0.275389277198422,5.985361141647295,0.0532084861083726,1.0,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.05,42,3499,0.4592108448317598,0.4171779141104294,0.2635757529578499,0.2425960024086872,0.2381701501452829,1.0617194509872616,0.2827949732471346,0.2739328236442331,7.292977212251674,0.067135650278561,1.0,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.05,123,3499,0.4002208908254659,0.4165813715455476,0.265877317709227,0.2458980138566212,0.2439295885694528,1.0868723924251185,0.2853763962034115,0.2772838680081205,7.541693635982288,0.0860453401721499,0.9982456140350876,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.05,456,3499,0.4265159767610748,0.4171779141104294,0.2696472041617724,0.2569496369141861,0.2506565309017481,1.1612982421091993,0.2809333993758616,0.2780275985290218,8.200948567998552,0.0573035564245397,1.0,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.1,42,6999,0.4488471314451706,0.4165813715455476,0.2695879874825082,0.2541477136446052,0.2520164587393651,1.203622205010827,0.2836563539459585,0.2730624001715332,8.24888598213167,0.0725514605704593,0.9982456140350876,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.1,123,6999,0.4105543451948681,0.4165813715455476,0.2702521340496134,0.2564667029578005,0.2557787131612506,1.1955159643627409,0.2843228384076292,0.2748762189783448,8.33258565630279,0.0676486288880312,0.9982456140350876,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.1,456,6999,0.4044420237230695,0.4165813715455476,0.2732957184558645,0.2672292180428706,0.2632059457645423,1.286423399004779,0.2845430545763341,0.280273499889733,8.914028718169561,0.083872617702293,0.9982456140350876,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.25,42,17499,0.4561244250786734,0.415983606557377,0.2682593946606204,0.2512926354390423,0.2490931386187636,1.3393179500430852,0.2769352465290186,0.2699177499435606,8.36229021414673,0.062892884148987,0.9964912280701754,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.25,123,17499,0.4269244734931009,0.415983606557377,0.2720596995922246,0.2593010351697678,0.2487242974591595,1.3611157120184536,0.2809374821714397,0.2680405470624215,8.90275550995384,0.0668002994704717,0.9964912280701754,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.25,456,17499,0.4268790849673203,0.4165813715455476,0.2750915452367363,0.2681989048709592,0.2611263201375205,1.3357100409547245,0.2829436967081231,0.2746979066156425,9.537447891806467,0.0631688402399191,0.9982456140350876,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.5,42,35000,0.4385893246187364,0.415983606557377,0.2731339785602433,0.2604107876046758,0.2602861916852131,1.4350588130386592,0.277788642697802,0.2740324245842498,9.51612790721571,0.0773392826402234,0.9964912280701754,True
MIDNIGHT,CRC,BRACS,CRC->BRACS,0.5,123,35000,0.4305858145727427,0.4147843942505133,0.2745136296155867,0.2614632322318423,0.2613450073605535,1.4469579470128917,0.279515655982663,0.2766841024562883,9.712159875045286,0.0783512887390762,0.9929824561403509,True
