model,dataset,fraction,mean,std,min,max
UNI,PCam,0.05,0.9835845400727384,0.0009262540534975087,0.9826982995577778,0.984546196620031
UNI,PCam,0.1,0.9830771914526163,0.0009508951869599438,0.9820703645104464,0.9839599811063672
UNI,PCam,0.25,0.9820907294344621,0.0005177388627852415,0.9816193137293548,0.9826448379069458
UNI,PCam,0.5,0.9824870085040608,0.0004617618971007742,0.9820470106613022,0.9829678243600704
UNI,PCam,1.0,0.9786119794547076,0.0,0.9786119794547076,0.9786119794547076
UNI,SPIDER-Breast,0.01,0.9867784615279301,0.0004638649102840701,0.9863779811841494,0.9872867313666982
UNI,SPIDER-Breast,0.05,0.9926173499492573,0.00020951532446597025,0.9924714532055128,0.9928574278406934
UNI,SPIDER-Breast,0.1,0.9936230965789775,6.2633683555205e-05,0.9935527857901628,0.9936729241595847
UNI,SPIDER-Breast,0.25,0.994536996374697,0.00015158968006146451,0.9944466486532388,0.9947120062782708
UNI,SPIDER-Breast,0.5,0.9948033053450059,0.00011957497080661217,0.9946661574920618,0.994885700395456
UNI,SPIDER-Breast,1.0,0.9951334781789676,0.0,0.9951334781789676,0.9951334781789676
VIRCHOW2,BRACS,0.01,0.7918278214942965,0.020513553089919246,0.7712968455807996,0.812323907253837
VIRCHOW2,BRACS,0.05,0.8729085564857993,0.006830455327863067,0.8670848429546263,0.8804267556741826
VIRCHOW2,BRACS,0.1,0.8826118790969696,0.004235775531430586,0.8778273847755302,0.8858834754026549
VIRCHOW2,BRACS,0.25,0.8932662910834965,0.0025212757281987174,0.89052684083616,0.8954894742051821
VIRCHOW2,BRACS,0.5,0.9001027106397955,0.0011972865950107877,0.8992838573251581,0.9014768158069936
VIRCHOW2,BRACS,1.0,0.9038447387617934,0.0,0.9038447387617934,0.9038447387617934
VIRCHOW2,CRC,0.01,0.9990507617922502,0.0001633061166029578,0.9988772861931398,0.9992015195114
VIRCHOW2,CRC,0.05,0.9995024114081432,5.6867639579005916e-05,0.9994384327936552,0.9995472062258194
VIRCHOW2,CRC,0.1,0.9996185274641306,6.904926985064918e-06,0.9996122215649896,0.9996259059010916
VIRCHOW2,CRC,0.25,0.9997751624125596,2.4524918330349082e-05,0.9997553436350182,0.9998025898965944
VIRCHOW2,CRC,0.5,0.9998589945151765,1.4692740178731011e-05,0.9998420299875485,0.9998676506057094
VIRCHOW2,CRC,1.0,0.9999149146886968,0.0,0.9999149146886968,0.9999149146886968
VIRCHOW2,LungHist700,0.01,0.8104034732786647,0.0237074718432337,0.7908149641055713,0.8367585838962095
VIRCHOW2,LungHist700,0.05,0.8721417177017393,0.02627053199181257,0.8542094236094785,0.9022966701076428
VIRCHOW2,LungHist700,0.1,0.913326549787318,0.013688763581108015,0.9044301830749376,0.9290894687952416
VIRCHOW2,LungHist700,0.25,0.9489986311417135,0.008681378010117133,0.943515617311685,0.9590077885477276
VIRCHOW2,LungHist700,0.5,0.9607062562999505,0.00287414623264396,0.9584494955138356,0.9639420022598502
VIRCHOW2,LungHist700,1.0,0.9724456901692357,0.0,0.9724456901692358,0.9724456901692358
