model,dataset,fraction,C,auroc,ece
MIDNIGHT,LungHist700,0.1,0.1,0.8524928770603656,0.18841758797579153
MIDNIGHT,LungHist700,0.1,1.0,0.8623333798427102,0.22755250471060426
MIDNIGHT,LungHist700,0.1,10.0,0.8738185855546768,0.09004782112549241
MIDNIGHT,LungHist700,0.1,100.0,0.8709401530697485,0.16325442092104026
MIDNIGHT,LungHist700,1.0,0.01,0.8951103646495445,0.02897317661424333
MIDNIGHT,LungHist700,1.0,0.1,0.9105641773835643,0.19556430574273587
MIDNIGHT,LungHist700,1.0,1.0,0.9460658957717402,0.1946074086746045
MIDNIGHT,LungHist700,1.0,10.0,0.974618600399992,0.12887263726135825
MIDNIGHT,LungHist700,1.0,100.0,0.983873766751635,0.08618001426706266
MIDNIGHT,BRACS,0.01,0.01,0.7402270481223495,0.07370431836600297
MIDNIGHT,BRACS,0.01,0.1,0.7416697403812402,0.06417660845788367
MIDNIGHT,BRACS,0.01,1.0,0.7488842221599649,0.1055441608067622
MIDNIGHT,BRACS,0.01,10.0,0.755658491999244,0.07503838534160796
MIDNIGHT,BRACS,0.01,100.0,0.753619001505543,0.22519298404691093
MIDNIGHT,BRACS,0.1,0.01,0.7928730920917205,0.04617267378250212
MIDNIGHT,BRACS,0.1,0.1,0.8110324995369859,0.16520474029072277
MIDNIGHT,BRACS,0.1,1.0,0.8508230972316739,0.0961972850968605
