model,pair,lo,hi,delta,rises,monotone
MIDNIGHT,h1->h0,0.22044275682191902,0.0322132998113333,-0.18822945701058572,False,False
MIDNIGHT,h1->h2,0.21923495401912838,0.0672582991779003,-0.15197665484122808,False,False
MIDNIGHT,h1->h3,0.18380882081208946,0.0413001966398478,-0.14250862417224167,False,False
MIDNIGHT,h1->h4,0.22262248425161313,0.1083988060616828,-0.11422367818993033,False,False
MIDNIGHT,h2->h0,0.22940058669512517,0.0534463972393694,-0.17595418945575578,False,False
MIDNIGHT,h2->h1,0.24430448385428435,0.0616811063043221,-0.18262337754996225,False,False
MIDNIGHT,h2->h3,0.19823248022354759,0.0381992254976366,-0.16003325472591098,False,False
MIDNIGHT,h2->h4,0.25199561932421527,0.072311734088326,-0.17968388523588927,False,False
MIDNIGHT,h3->h0,0.1774777183892319,0.030235759772061204,-0.1472419586171707,False,False
MIDNIGHT,h3->h1,0.14717250959694808,0.028468573488226196,-0.11870393610872189,False,False
MIDNIGHT,h3->h2,0.18074526498027976,0.0558178981728607,-0.12492736680741906,False,False
MIDNIGHT,h3->h4,0.23168149020073092,0.0556910420213659,-0.17599044817936502,False,False
MIDNIGHT,h4->h0,0.2092182024850128,0.0388430562486022,-0.1703751462364106,False,False
MIDNIGHT,h4->h1,0.21496260115120117,0.0805425015039289,-0.13442009964727225,False,False
MIDNIGHT,h4->h2,0.23181709575669698,0.056572184326674,-0.175244911430023,False,False
MIDNIGHT,h4->h3,0.21290764670015797,0.0450495075288766,-0.16785813917128137,False,False
PLIP,h0->h1,0.22945786908578403,0.06038201105642551,-0.1690758580293585,False,False
PLIP,h0->h2,0.24066544698072959,0.0518565213252986,-0.18880892565543098,False,False
PLIP,h0->h3,0.23538973801514237,0.0576512700692637,-0.17773846794587866,False,False
PLIP,h0->h4,0.2745850373257272,0.094760303370941,-0.1798247339547862,False,False
PLIP,h1->h0,0.2519656505957214,0.09106309776311432,-0.16090255283260707,False,False
PLIP,h1->h2,0.22883420450965253,0.0680628921018614,-0.16077131240779113,False,False
PLIP,h1->h3,0.2514069359954896,0.0553002830984022,-0.19610665289708737,False,False
PLIP,h1->h4,0.2566667691418408,0.1508715789295417,-0.10579519021229908,False,False
PLIP,h2->h0,0.25455899571079965,0.0414992478719059,-0.21305974783889375,False,False
PLIP,h2->h1,0.21876444662498584,0.0551794961464197,-0.16358495047856614,False,False
