model,dataset,fraction,seed,n_train,n_classes,auroc,f1_macro,f1_binary,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate,forced_classes
PLIP,LungHist700,0.25,456,118,7,0.9196441897329148,0.4574770258980785,,,0.2591030308041132,0.2633162457725215,0.2465054623297296,0.1320357206243137,0.1278964518617815,0.4095238095238095,False,0
PLIP,LungHist700,0.5,42,240,7,0.8951784996420306,0.48698593189398,,,0.216468094984506,0.2170395536792979,0.3393864361775874,0.1318308450740964,0.143020433634875,0.2952380952380952,False,0
PLIP,LungHist700,0.5,123,240,7,0.8987428679890697,0.5346429148322216,,,0.2407515160889793,0.2433062616893125,0.3369512707854078,0.1326144458265171,0.1495434682065445,0.2952380952380952,False,0
PLIP,LungHist700,0.5,456,240,7,0.9171729584072926,0.5106730730569738,,,0.2408360219455102,0.2526188411471686,0.3234553409945278,0.1168556401323363,0.1195992354830484,0.2952380952380952,False,0
PLIP,LungHist700,1.0,42,483,7,0.9220359017533604,0.5968399763005977,,,0.2244485961840369,0.2337670767481394,0.4108644184983619,0.1066343523619929,0.1435001190901575,0.238095238095238,False,0
PLIP,LungHist700,1.0,123,483,7,0.9220359017533604,0.5968399763005977,,,0.2244485961840369,0.2337670767481394,0.4108644184983619,0.1066343523619929,0.1435001190901575,0.238095238095238,False,0
PLIP,LungHist700,1.0,456,483,7,0.9220359017533604,0.5968399763005977,,,0.2244485961840369,0.2337670767481394,0.4108644184983619,0.1066343523619929,0.1435001190901575,0.238095238095238,False,0
PLIP,MHIST,0.01,42,18,2,0.7423329731676571,0.3870765370138017,0.0,0.2304073513664588,0.1271330369089613,0.1727264905114952,2.098808954572708,0.1192581419105478,0.1714786078170316,1.0,True,0
PLIP,MHIST,0.01,123,18,2,0.6336214658743021,0.3870765370138017,0.0,0.2365206934716227,0.1365908156473551,0.1510967775411354,2.320374165616052,0.0841701858913269,0.1358615519442681,1.0,True,0
PLIP,MHIST,0.01,456,18,2,0.7348865478119936,0.3870765370138017,0.0,0.2331970324967769,0.1746898997008341,0.1864069489264871,2.2694703670677883,0.0885191469980175,0.1798522480254681,1.0,True,0
PLIP,MHIST,0.05,42,92,2,0.7786376733297318,0.3870765370138017,0.0,0.2177090996175687,0.1490272027155929,0.1706957184447001,1.8844893883851437,0.176375286521724,0.1744691242812987,1.0,True,0
PLIP,MHIST,0.05,123,92,2,0.7451692778678193,0.3870765370138017,0.0,0.2158978594153803,0.1436650997921061,0.1793561444006296,1.811560030966412,0.1573962259794037,0.1828420663826909,1.0,True,0
PLIP,MHIST,0.05,456,92,2,0.7459031154330994,0.3870765370138017,0.0,0.220258526040276,0.141888632362242,0.1652638338437412,1.8880457977006249,0.163889542354907,0.1678004342960771,1.0,True,0
PLIP,MHIST,0.1,42,184,2,0.7839726274086081,0.3870765370138017,0.0,0.204854433025275,0.1457203915187255,0.1475714050898842,1.716049110269757,0.1516371484507965,0.1532560262894802,1.0,True,0
PLIP,MHIST,0.1,123,184,2,0.7720691518098325,0.3870765370138017,0.0,0.2073565082543658,0.1316032676799323,0.1564775885793768,1.6722500603251946,0.156708080974517,0.1600830551184216,1.0,True,0
PLIP,MHIST,0.1,456,184,2,0.7820547451827841,0.3900896060152363,0.0055401662049861,0.2065451163912339,0.1383069514620865,0.1372884439198456,1.767518020688878,0.1258719630043471,0.1345634048372747,0.9989764585465712,True,0
PLIP,MHIST,0.25,42,461,2,0.7998964523680893,0.4826655759328311,0.1813725490196078,0.1891564737773346,0.1229930635086263,0.1260656876043314,1.5730755162526435,0.1239898663843938,0.1248956011771316,0.9508700102354144,False,0
PLIP,MHIST,0.25,123,461,2,0.7929362506753107,0.514375408763898,0.24,0.1897245967314628,0.1270371453391817,0.1279715901876442,1.505155549506465,0.1218250536691573,0.1231400692937696,0.933469805527124,False,0
PLIP,MHIST,0.25,456,461,2,0.7890149468755627,0.4775761818891277,0.169576059850374,0.1932742453453703,0.1123159735409016,0.1227712639471215,1.5879392917167294,0.1197554209801965,0.1231608583612618,0.9580348004094166,False,0
PLIP,MHIST,0.5,42,924,2,0.7989150009004142,0.5711483063825222,0.3534303534303534,0.1834807046214176,0.1033194507343392,0.1016925300121112,1.5872297914294449,0.1009910358557499,0.101758108390371,0.8761514841351075,False,0
PLIP,MHIST,0.5,123,924,2,0.8067531064289574,0.5968363136176067,0.4,0.1802634686322063,0.1005675266134538,0.1009814162183684,1.5091218621438456,0.1023807800469228,0.0999810122829147,0.8567041965199591,False,0
PLIP,MHIST,0.5,456,924,2,0.8132721051683774,0.5797728967138843,0.3617021276595745,0.1811943066152148,0.1120278897396917,0.1135744880365267,1.495047817480584,0.1105981580245916,0.1084388147209726,0.887410440122825,False,0
PLIP,MHIST,1.0,42,1849,2,0.8291644156311905,0.6424857241455648,0.4844036697247706,0.17074570556405,0.0910379819949248,0.0940659911951158,1.4400670641601865,0.0852055428518377,0.0848050460379886,0.8106448311156602,False,0
PLIP,MHIST,1.0,123,1849,2,0.8291644156311905,0.6424857241455648,0.4844036697247706,0.17074570556405,0.0910379819949248,0.0940659911951158,1.4400670641601865,0.0852055428518377,0.0848050460379886,0.8106448311156602,False,0
PLIP,MHIST,1.0,456,1849,2,0.8291644156311905,0.6424857241455648,0.4844036697247706,0.17074570556405,0.0910379819949248,0.0940659911951158,1.4400670641601865,0.0852055428518377,0.0848050460379886,0.8106448311156602,False,0
PLIP,PCam,0.01,42,2620,2,0.9414989319944668,0.864672990668552,0.8599525691699604,0.1020501940959697,0.0691260684819988,0.0693427452402508,1.2673911073247646,0.0309402052703069,0.0309402052703069,0.53466796875,False,0
PLIP,PCam,0.01,123,2620,2,0.9417690006892422,0.8617470191296394,0.856207280241615,0.1022184288530566,0.0716153225945834,0.0709690970387827,1.2850451698902154,0.0346842895991293,0.0346842895991293,0.53985595703125,False,0
PLIP,PCam,0.01,456,2620,2,0.9435367406655112,0.8682076486140926,0.8634737741761894,0.1013453782947535,0.0762543227803673,0.076507400844144,1.2581344360841555,0.03171729471057,0.0317172947105701,0.53570556640625,False,0
PLIP,PCam,0.05,42,13106,2,0.950933276100943,0.8750109977882965,0.8692703835204555,0.0910255341600807,0.0504363169665499,0.050120241801602,1.6350012974429775,0.0380846546147057,0.0386883989012072,0.54571533203125,False,0
PLIP,PCam,0.05,123,13106,2,0.9498641697441949,0.8726748674524607,0.8660809114608478,0.0922461508775217,0.0493789914988887,0.0497395374477134,1.6893939823349156,0.0426320315547609,0.0428893336578419,0.55157470703125,False,0
PLIP,PCam,0.05,456,13106,2,0.950658629023555,0.8757814487816125,0.8701406649616368,0.0909892532877043,0.0482904287664544,0.0475643428523759,1.634306646020026,0.0374199989544289,0.0375171460208376,0.545196533203125,False,0
PLIP,PCam,0.1,42,26214,2,0.9514249772571916,0.8759573254126898,0.869919481602669,0.0901036103230988,0.0443881824885227,0.0450792991594046,1.7575115671274433,0.0418276065780501,0.04182760657805,0.5484619140625,False,0
PLIP,PCam,0.1,123,26214,2,0.951547494626892,0.8743599984844289,0.867584916615593,0.0907940115052929,0.0481152278662714,0.0484238122267461,1.7925181294985597,0.0453421138864762,0.0460098947850785,0.5537109375,False,0
PLIP,PCam,0.1,456,26214,2,0.9515455090468002,0.8763833732705101,0.8703436326884204,0.0897577619499873,0.0435474514467875,0.0437774513744577,1.7701768169712582,0.0407817175684551,0.0407817175684551,0.54864501953125,False,0
PLIP,PCam,0.25,42,65536,2,0.9533684392089156,0.8777202346763919,0.8710666451508795,0.0889021135612561,0.0454298243522476,0.0465124035913563,1.9372281830966167,0.0459836999637741,0.0464555157613101,0.55419921875,False,0
PLIP,PCam,0.25,123,65536,2,0.952146968451148,0.875147907156274,0.8680685862180524,0.0899508803419507,0.0464363840062458,0.0468374503011686,1.977919027440018,0.0466343905351443,0.0468276140461349,0.556488037109375,False,0
PLIP,PCam,0.25,456,65536,2,0.953367019873053,0.8779634724707532,0.8713082211678125,0.0887044354682978,0.0447335650453426,0.0456663216821694,1.9377591828661287,0.0452741957572479,0.0455428863025886,0.5543212890625,False,0
PLIP,PCam,0.5,42,131072,2,0.9524826171683084,0.8743261303985292,0.8667208055871366,0.0903682390169982,0.0502873916009395,0.0502873916009395,2.125181832834346,0.0491881387775197,0.0491881387775197,0.560302734375,False,0
PLIP,PCam,0.5,123,131072,2,0.9537678276547178,0.8771319200718868,0.8698501265165769,0.0891899323931749,0.0499589143574265,0.0499589143574265,2.0756232763157807,0.0493013235623766,0.0494482708134433,0.559051513671875,False,0
PLIP,PCam,0.5,456,131072,2,0.953065140918612,0.8770038700440314,0.869928439594599,0.0893233706677449,0.0485258533192932,0.0485258533192931,2.075868838998928,0.0478832831192864,0.0478832831192864,0.55731201171875,False,0
PLIP,PCam,1.0,42,262144,2,0.9523657175374036,0.8718892364510866,0.8630612913798754,0.0918246914258517,0.057402093811539,0.0574020938115391,2.141662968994923,0.0560417420567183,0.0560417420567182,0.568695068359375,False,0
PLIP,PCam,1.0,123,262144,2,0.9523657175374036,0.8718892364510866,0.8630612913798754,0.0918246914258517,0.057402093811539,0.0574020938115391,2.141662968994923,0.0560417420567183,0.0560417420567182,0.568695068359375,False,0
PLIP,PCam,1.0,456,262144,2,0.9523657175374036,0.8718892364510866,0.8630612913798754,0.0918246914258517,0.057402093811539,0.0574020938115391,2.141662968994923,0.0560417420567183,0.0560417420567182,0.568695068359375,False,0
PLIP,SPIDER-Breast,0.01,42,682,18,0.9444725003384706,0.5113091620096362,,,0.3551089242305186,0.3551089242305186,0.2987829760738295,0.0335775182846392,0.0345382575912537,0.1013794249626059,False,0
PLIP,SPIDER-Breast,0.01,123,682,18,0.94152439243216,0.5235964661605851,,,0.3690194723402281,0.3690194723402281,0.2994308299480518,0.0188305452316084,0.0245114649053154,0.1025427954129965,False,0
PLIP,SPIDER-Breast,0.01,456,682,18,0.9481486472947168,0.5297010297071829,,,0.368396762612378,0.3683967626123781,0.2953306782360256,0.0253890476063749,0.0280109587438189,0.1120159547947482,False,0
PLIP,SPIDER-Breast,0.05,42,3431,18,0.9654840754146926,0.6484932898542506,,,0.2589505730179797,0.2589505730179796,0.4271232391857092,0.0304768634137164,0.0306207745721474,0.1115173674588665,False,0
PLIP,SPIDER-Breast,0.05,123,3431,18,0.9651691748601612,0.6332290205160638,,,0.2486214058017318,0.2486214058017317,0.428015270807613,0.0423699237114788,0.0420532891421061,0.1165032408176832,False,0
PLIP,SPIDER-Breast,0.05,456,3431,18,0.9645398234798476,0.639654042816518,,,0.2482701452606041,0.2482701452606041,0.4303577377646105,0.0376773632025576,0.0369565331672129,0.1132624231344523,False,0
PLIP,SPIDER-Breast,0.1,42,6868,18,0.9716638474061032,0.6850198471631965,,,0.2098151681151873,0.2098151681151873,0.482890489545639,0.0252292428811933,0.0246970261638382,0.1153398703672926,False,0
PLIP,SPIDER-Breast,0.1,123,6868,18,0.9710484831231394,0.6739049574844885,,,0.1976725546938763,0.1976725546938763,0.4819366866270256,0.0344473171171026,0.0344369336629604,0.1201595479474821,False,0
PLIP,SPIDER-Breast,0.1,456,6868,18,0.9708947911649416,0.681141293404269,,,0.2026844798010968,0.2026414155328015,0.4862808736137535,0.028055098240938,0.0278786498297934,0.1170018281535649,False,0
PLIP,SPIDER-Breast,0.25,42,17176,18,0.9761467009531016,0.7108789281182681,,,0.1436017465221682,0.1436017465221682,0.5533371194448754,0.0281958236110402,0.0283090363833991,0.1196609606116004,False,0
PLIP,SPIDER-Breast,0.25,123,17176,18,0.976441458055917,0.7094160886402314,,,0.1418734349165373,0.1418734349165373,0.5509611398950044,0.0312707051694412,0.0312203209396187,0.1198271563902276,False,0
PLIP,SPIDER-Breast,0.25,456,17176,18,0.9761934849950452,0.7081394720905779,,,0.1411643581433135,0.1411432809423518,0.5545084939296852,0.0300937994368746,0.0302580394698431,0.1194116669436596,False,0
PLIP,SPIDER-Breast,0.5,42,34361,18,0.9788493387561964,0.720052506569983,,,0.0999931891572858,0.0999931891572859,0.5997573961572473,0.0369754666186442,0.0366810883310043,0.119744058500914,False,0
PLIP,SPIDER-Breast,0.5,123,34361,18,0.97928881854313,0.7264514045326969,,,0.1069577220385217,0.1068693774529424,0.5961871811471022,0.031709327176421,0.0318994297050323,0.1201595479474821,False,0
PLIP,SPIDER-Breast,0.5,456,34361,18,0.9790528564286308,0.7235333595075821,,,0.1033356431273481,0.1033356431273481,0.5998365581145343,0.0333619782324908,0.0332149173831941,0.120824331061991,False,0
PLIP,SPIDER-Breast,1.0,42,68730,18,0.9816586026879696,0.7375199746291697,,,0.0750833869300872,0.0749550263634348,0.6365042660944493,0.0360233040937739,0.0360321255351467,0.1216553099551271,False,0
PLIP,SPIDER-Breast,1.0,123,68730,18,0.9816586026879696,0.7375199746291697,,,0.0750833869300872,0.0749550263634348,0.6365042660944493,0.0360233040937739,0.0360321255351467,0.1216553099551271,False,0
PLIP,SPIDER-Breast,1.0,456,68730,18,0.9816586026879696,0.7375199746291697,,,0.0750833869300872,0.0749550263634348,0.6365042660944493,0.0360233040937739,0.0360321255351467,0.1216553099551271,False,0
UNI,BRACS,0.01,42,33,7,0.7616340370155833,0.2908235608064862,,,0.1367336341061829,0.1448363095680483,0.8197836378232992,0.1128992299269917,0.1243269477133683,0.475438596491228,False,0
