probe,model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.25,456,65536,0.6087565280028813,0.3900896060152363,0.3281699189218152,0.3167336008901362,0.3134212219151558,1.056305490176168,0.31039140721213,0.3063495108741454,0.9989764585465712,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.5,42,131072,0.6309832522960561,0.3926875174232468,0.3246868700431071,0.3135864259818132,0.3125332035991757,1.1281637495808807,0.2976984566529429,0.2964926607384439,0.9969293756397134,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.5,123,131072,0.6252341076895372,0.3918859970516478,0.3176888242002742,0.3019963680874239,0.300601279929265,1.1544376918658352,0.2837165582814505,0.2797563688232808,0.9948822927328556,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.5,456,131072,0.6182108770034216,0.3896971043060607,0.3320256646996198,0.3243225304030469,0.3217939908865042,1.2020162943671628,0.3000229472559452,0.2984666627171157,0.9979529170931424,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,1.0,42,262144,0.6355753646677471,0.4156904133685136,0.2963004190453999,0.2734394402089724,0.2656556079030693,1.34199822067179,0.2259960199993183,0.2205047131370192,0.9805527123848516,False
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,1.0,123,262144,0.630537547271745,0.3922869583246942,0.3223542075798231,0.3098894525109623,0.3082906149419266,1.2746028060776842,0.2775833395251598,0.2755175676452284,0.9959058341862844,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,1.0,456,262144,0.631017017828201,0.3922869583246942,0.3241715556336029,0.3138568443470199,0.3124516665727708,1.3028867303853686,0.2786099430604503,0.277287609762719,0.9959058341862844,True
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.01,42,36,0.3476129703336962,0.4426660184252557,0.2292543879942529,0.3207118941346804,0.319771638917923,0.7512962935368347,0.3080406828800837,0.3073447003046671,0.8766,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.01,123,36,0.4179368059190081,0.4451498659214838,0.2158719249636894,0.2979379283189773,0.2969664726734161,0.8687802417269854,0.2896442885200183,0.2880483045260111,0.9020666666666668,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.01,456,36,0.3367380916846965,0.4425144359419745,0.202455439905048,0.23848658097138,0.2425121160030365,1.2080315786274147,0.2525107311209043,0.2540986081759135,0.8554666666666667,False
