model,dataset,fraction,auroc_old,ece_old,auroc_new,ece_new,d_auroc,d_ece
CONCH,MHIST,0.5,0.8344723572843508,0.11280729595687407,0.8359370310342759,0.10882137990896551,0.001464673749925094,-0.003985916047908558
CONCH,MHIST,1.0,0.8509814514676751,0.09174233457362387,0.8509814514676751,0.0917423345736239,0.0,2.7755575615628914e-17
CONCH,PCam,0.01,0.9535609796313743,0.05305816204743677,0.9551076869180176,0.05189354700062626,0.0015467072866433007,-0.0011646150468105076
CONCH,PCam,0.05,0.9576230207713744,0.03696480842753403,0.959213317687757,0.0372189203973158,0.001590296916382572,0.0002541119697817701
CONCH,PCam,0.1,0.9599981483317017,0.032284310553740765,0.9598661575470432,0.033464365254917895,-0.0001319907846585311,0.00118005470117713
CONCH,PCam,0.25,0.9628551869835859,0.03394442570947747,0.963327850661171,0.034307275574542405,0.00047266367758513894,0.0003628498650649348
CONCH,PCam,0.5,0.9647091873142255,0.03491870538205754,0.9651546836864681,0.03501918408350583,0.0004454963722425598,0.00010047870144828941
CONCH,PCam,1.0,0.9657347251512167,0.03810250608683203,0.9657203306268759,0.0381210417352446,-1.4394524340821668e-05,1.8535648412573713e-05
CONCH,SPIDER-Breast,0.01,0.9686946707525999,0.30678602032173,0.9657586850230108,0.31591851188452474,-0.0029359857295890857,0.00913249156279472
CONCH,SPIDER-Breast,0.05,0.9786238878302208,0.184482178930184,0.9780313967967066,0.18617711984432353,-0.0005924910335142197,0.00169494091413952
CONCH,SPIDER-Breast,0.1,0.9817240033097008,0.13776778488785904,0.9817323644222663,0.1382260428407122,8.361112565524742e-06,0.0004582579528531472
CONCH,SPIDER-Breast,0.25,0.9848903041541176,0.09093235041633903,0.984986710222968,0.09188903163893485,9.640606885041869e-05,0.0009566812225958177
CONCH,SPIDER-Breast,0.5,0.9868259652619621,0.06593301838262873,0.9869197083573639,0.0674730436082168,9.374309540177705e-05,0.0015400252255880764
CONCH,SPIDER-Breast,1.0,0.9883801615527487,0.04580483432303867,0.9883801724238772,0.0458057197914103,1.0871128552913945e-08,8.854683716322254e-07
GigaPath,BRACS,0.01,0.7360244907734259,0.0800929291580152,0.7484708350915379,0.08351767051390056,0.01244634431811198,0.003424741355885358
GigaPath,BRACS,0.05,0.836150054456294,0.1220474715639474,0.8369912232549149,0.12208714268985676,0.0008411687986209504,3.9671125909371274e-05
GigaPath,BRACS,0.1,0.8580941284023192,0.10832126469280896,0.8582384208518695,0.1462052780863398,0.0001442924495502762,0.03788401339353083
GigaPath,BRACS,0.25,0.8798479534968386,0.11307314442037027,0.8804097839945064,0.1253036416750688,0.0005618304976677813,0.012230497254698533
GigaPath,BRACS,0.5,0.8904622952750086,0.08962979971846356,0.8911053213923005,0.08494080868550334,0.0006430261172918339,-0.004688991032960221
GigaPath,BRACS,1.0,0.8982040556571903,0.0660298730265526,0.8982040556571903,0.0660298730265227,0.0,-2.989275493803234e-14
GigaPath,CRC,0.01,0.9992712453783247,0.2409798242042013,0.9992842578903988,0.24068472372861513,1.301251207408427e-05,-0.00029510047558617414
GigaPath,CRC,0.05,0.999493695779451,0.0833177400560494,0.9995267227820163,0.08439585855790117,3.30270025652446e-05,0.0010781185018517714
GigaPath,CRC,0.1,0.999609980805673,0.051213561968420564,0.9996199062946444,0.05284453979511807,9.925488971385121e-06,0.0016309778266975078
GigaPath,CRC,0.25,0.9997853633724746,0.027407325547043032,0.9997821786064596,0.027701029056849,-3.184766015018603e-06,0.0002937035098059676
GigaPath,CRC,0.5,0.9998594607954102,0.017500240324032867,0.9998558845190169,0.01781577359563327,-3.57627639335778e-06,0.0003155332716004017
GigaPath,CRC,1.0,0.9999000489102977,0.011179249104720235,0.9999000489102977,0.011179249117577098,0.0,1.2856863143562158e-11
GigaPath,LungHist700,0.01,0.6407703812280728,0.1479376293169822,0.6552185811632839,0.18627318480918809,0.01444819993521107,0.03833555549220588
GigaPath,LungHist700,0.05,0.7596100642108946,0.16126545602793604,0.7713094078459294,0.12002946064949149,0.011699343635034776,-0.04123599537844455
GigaPath,LungHist700,0.1,0.823044135070103,0.13493278993475266,0.8372409155212354,0.1521467933022509,0.014196780451132374,0.017214003367498232
GigaPath,LungHist700,0.25,0.9175308369633576,0.22453547006712538,0.9111310261215273,0.27501600308527635,-0.006399810841830278,0.050480533018150975
