model,hospital,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,forced_classes,degenerate
CLIP,4,0.25,42,3500,3000,750,0.9811942222222222,0.9366585308068458,0.0596513961582405,0.0987333542260288,0.0971405718959121,0.9250083998375584,0.0242254031375363,0.0187234836577626,1.0153725414296595,0.02615973277173,0.5113333333333333,0,False
CLIP,4,0.25,123,3500,3000,750,0.9819622222222224,0.9393280481321928,0.0588049174906251,0.1003215732365559,0.1004382919998798,0.9106760023680202,0.0232647405161854,0.0196954833467755,0.909549402641466,0.0232584640394533,0.5093333333333333,0,False
CLIP,4,0.25,456,3500,3000,750,0.9817053333333332,0.9379900508481585,0.0594113996339751,0.0999301039267689,0.0994495071222192,0.913980953572224,0.023186118964105,0.0193613677912901,0.8832525111607741,0.022550646131542,0.5126666666666667,0,False
CLIP,4,0.5,42,7000,3000,1500,0.9844937777777778,0.9443196669049104,0.0499257426673131,0.07126137385462,0.0711186550356466,1.0671594864640226,0.0209399691098884,0.0187784498623159,1.0675614005656622,0.0209403225101446,0.5156666666666667,0,False
CLIP,4,0.5,123,7000,3000,1500,0.9846946666666666,0.9433260538798094,0.0494882699228227,0.0712015784731496,0.0718952204258425,1.0648166844585598,0.0205369778416567,0.0178391133596757,1.063949950383004,0.0208572979660427,0.5113333333333333,0,False
CLIP,4,0.5,456,7000,3000,1500,0.9847635555555556,0.9446536541257922,0.049657384926625,0.072156229230664,0.0729277501929583,1.060458755138878,0.0201557147837083,0.0192670640980652,1.0435874088862145,0.020341533550779,0.5153333333333333,0,False
CLIP,4,1.0,42,14000,3000,3000,0.9873084444444444,0.9483195461366972,0.0425507849457702,0.0505442091605958,0.048484295407948,1.2080422365890051,0.0174152096738972,0.0144083243596321,1.2080422365890051,0.0174152096738972,0.5163333333333333,0,False
CLIP,4,1.0,123,14000,3000,3000,0.9873084444444444,0.9483195461366972,0.0425507849457702,0.0505442091605958,0.048484295407948,1.2080422365890051,0.0174152096738972,0.0144083243596321,1.2080422365890051,0.0174152096738972,0.5163333333333333,0,False
CLIP,4,1.0,456,14000,3000,3000,0.9873084444444444,0.9483195461366972,0.0425507849457702,0.0505442091605958,0.048484295407948,1.2080422365890051,0.0174152096738972,0.0144083243596321,1.2080422365890051,0.0174152096738972,0.5163333333333333,0,False
CONCH,0,0.01,42,140,3000,30,0.9920737777777778,0.964303312419078,0.0504221324413865,0.1449679174454937,0.1386604450272969,0.76504335890247,0.0230974354730566,0.0249964538645866,0.681961857799059,0.0239207658633031,0.529,0,False
CONCH,0,0.01,123,140,3000,30,0.9929933333333334,0.9656377680295796,0.0525897221899601,0.1536526482546155,0.1476376199556632,0.7076479296463528,0.0188350045564688,0.0223920677711688,0.4908688786260767,0.0239109396658538,0.529,0,False
CONCH,0,0.01,456,140,3000,30,0.9889488888888888,0.9576127453690813,0.0540901662249049,0.1446622155575123,0.1371425256964402,0.8119479108656087,0.0279965140390339,0.0305046578709561,1.2759024708490854,0.0694257276763894,0.5356666666666666,0,False
CONCH,0,0.05,42,700,3000,150,0.9951351111111112,0.9736584451747218,0.0269783329074883,0.0646662560292658,0.0569092066798617,1.1061350712965696,0.0122819280350932,0.0136070948596045,0.6095310880238551,0.0186160347573042,0.5176666666666667,0,False
CONCH,0,0.05,123,700,3000,150,0.9950644444444444,0.9723195269284868,0.0277701140621113,0.066748573840633,0.0590263004475725,1.1795283089851345,0.0181974702630037,0.0218760739207859,0.9286191298808216,0.0210635365797908,0.5223333333333333,0,False
CONCH,0,0.05,456,700,3000,150,0.9951444444444444,0.9746590531199596,0.027384857010491,0.0720775733017782,0.0630052697969896,1.0652279142482612,0.0130940214978072,0.0146228224941785,1.386687816732049,0.0297457667900194,0.5173333333333333,0,False
CONCH,0,0.1,42,1400,3000,300,0.995712,0.9759948362225476,0.0222235981784303,0.0439055843885924,0.0380607171259058,1.256536112403749,0.0099491376288366,0.0097639345886193,0.8932671929009296,0.0125709616128484,0.5146666666666667,0,False
CONCH,0,0.1,123,1400,3000,300,0.9955488888888888,0.9759943560063676,0.0224559212878327,0.0449337296789994,0.0373363210055554,1.2981288888471083,0.0136174180307287,0.0132733916772385,1.2400493035296682,0.0118362076674131,0.5153333333333333,0,False
